index,topic
1,"0.018*""park"" + 0.012*""time"" + 0.012*""easi"" + 0.010*""servic"" + 0.010*""excel"" + 0.010*""applic"" + 0.010*""receipt"" + 0.010*""charg"" + 0.010*""cost"" + 0.009*""nice"""
2,"0.018*""park"" + 0.015*""time"" + 0.012*""good"" + 0.010*""expens"" + 0.009*""work"" + 0.009*""applic"" + 0.008*""fine"" + 0.008*""easi"" + 0.007*""area"" + 0.007*""make"""
3,"0.031*""easi"" + 0.021*""park"" + 0.016*""practic"" + 0.016*""applic"" + 0.015*""fast"" + 0.014*""good"" + 0.013*""time"" + 0.011*""great"" + 0.011*""super"" + 0.010*""charg"""
4,"0.023*""work"" + 0.015*""park"" + 0.014*""best"" + 0.014*""time"" + 0.012*""updat"" + 0.010*""easi"" + 0.007*""phone"" + 0.007*""chang"" + 0.007*""ticket"" + 0.007*""applic"""
5,"0.073*""work"" + 0.033*""conveni"" + 0.025*""comfort"" + 0.022*""easi"" + 0.017*""park"" + 0.016*""function"" + 0.012*""love"" + 0.011*""time"" + 0.011*""great"" + 0.009*""easili"""
6,"0.020*""easi"" + 0.018*""simpl"" + 0.017*""park"" + 0.013*""like"" + 0.012*""time"" + 0.011*""fine"" + 0.010*""quick"" + 0.009*""work"" + 0.009*""ticket"" + 0.009*""batteri"""
7,"0.035*""good"" + 0.019*""park"" + 0.013*""start"" + 0.013*""updat"" + 0.011*""work"" + 0.010*""time"" + 0.010*""recommend"" + 0.009*""fine"" + 0.009*""applic"" + 0.009*""code"""
8,"0.038*""easi"" + 0.037*""good"" + 0.020*""use"" + 0.016*""park"" + 0.014*""perfect"" + 0.011*""work"" + 0.011*""time"" + 0.010*""intuit"" + 0.010*""balanc"" + 0.009*""charg"""
9,"0.019*""practic"" + 0.019*""great"" + 0.016*""easi"" + 0.015*""park"" + 0.012*""perfect"" + 0.012*""time"" + 0.011*""commiss"" + 0.011*""epark"" + 0.011*""charg"" + 0.010*""save"""
10,"0.020*""charg"" + 0.017*""park"" + 0.016*""work"" + 0.011*""expens"" + 0.011*""card"" + 0.011*""time"" + 0.010*""commiss"" + 0.008*""minut"" + 0.008*""cost"" + 0.008*""applic"""
